name,realname,magnitude,prob,tectonic_type,batch,video,version,notes,planes
AlpineF2K,Alpine (Fiord-to-Kaniere),7.85,13.64,Crustal,1,https://youtu.be/_pLt2W-wmd8,1,,[[[-45.0418| 166.9841]| [-45.0336| 167.0329]| [-45.0969| 167.0958]| [-45.1051| 167.047]]| [[-45.0331| 167.0339]| [-44.9005| 167.1665]| [-44.9638| 167.2293]| [-45.0965| 167.0966]]| [[-44.8999| 167.1673]| [-44.8005| 167.2997]| [-44.8638| 167.3624]| [-44.9632| 167.2299]]| [[-44.7999| 167.3007]| [-44.5338| 167.8163]| [-44.597| 167.8789]| [-44.8634| 167.363]]| [[-44.5332| 167.8174]| [-44.0671| 168.718]| [-44.1302| 168.7803]| [-44.5968| 167.8792]]| [[-44.0666| 168.719]| [-43.0971| 170.768]| [-43.1599| 170.8299]| [-44.1305| 168.7797]]| [[-43.0966| 170.769]| [-42.8938| 171.1497]| [-42.957| 171.2105]| [-43.16| 170.8296]]]
AlpineK2T,Alpine (Kaniere-to-Tophouse),7.52,7.75,Crustal,1,https://youtu.be/zPETx9NNYb8,1,,[[[-42.8932| 171.1507]| [-42.6588| 171.6113]| [-42.722| 171.672]| [-42.9567| 171.2111]]| [[-42.6583| 171.6124]| [-42.4738| 171.988]| [-42.537| 172.0484]| [-42.7217| 171.6725]]| [[-42.4732| 171.989]| [-42.2655| 172.3464]| [-42.3287| 172.4066]| [-42.5367| 172.049]]| [[-42.2647| 172.347]| [-42.0589| 172.41]| [-42.1223| 172.4699]| [-42.3281| 172.407]]| [[-42.0582| 172.4106]| [-41.7971| 172.878]| [-41.8603| 172.9378]| [-42.1217| 172.4702]]]
AlpineR,Alpine (Resolution),7.36,15.59,Crustal,1,https://youtu.be/y2POyBA6SzE,1,,[[[-45.8663| 165.7921]| [-45.5836| 166.1995]| [-45.5836| 166.1995]| [-45.8663| 165.7921]]| [[-45.583| 166.2005]| [-45.5086| 166.3412]| [-45.5086| 166.3412]| [-45.583| 166.2005]]| [[-45.508| 166.3421]| [-45.017| 166.9579]| [-45.017| 166.9579]| [-45.508| 166.3421]]]
Ararata,Ararata,6.26,0.29,Crustal,,,,,[[[-39.5848| 174.3271]| [-39.5188| 174.3948]| [-39.5636| 174.4436]| [-39.6296| 174.376]]]
Aratiatia,Aratiatia,6.13,4.11,Volcanic,,,,,[[[-38.6798| 176.1105]| [-38.5705| 176.1999]| [-38.5995| 176.237]| [-38.7088| 176.1477]]]
ArielBank,Ariel-Bank,7.17,6.68,Crustal,,,,,[[[-38.3601| 178.6092]| [-38.4328| 178.525]| [-38.3527| 178.3485]| [-38.2801| 178.4328]]| [[-38.4336| 178.5243]| [-38.5444| 178.4416]| [-38.4643| 178.2648]| [-38.3535| 178.3477]]| [[-38.5453| 178.4413]| [-38.6427| 178.4429]| [-38.5626| 178.2658]| [-38.4652| 178.2645]]| [[-38.6435| 178.4426]| [-38.6928| 178.3983]| [-38.6127| 178.2211]| [-38.5635| 178.2655]]| [[-38.6936| 178.3977]| [-38.7627| 178.3582]| [-38.6826| 178.1808]| [-38.6135| 178.2205]]| [[-38.7635| 178.3576]| [-38.8445| 178.2849]| [-38.7643| 178.1074]| [-38.6835| 178.1802]]]
ArielEast,Ariel-East,6.44,6.74,Crustal,,,,,[[[-38.7969| 178.361]| [-38.8528| 178.3166]| [-38.7941| 178.1865]| [-38.7383| 178.231]]| [[-38.8535| 178.3159]| [-38.9095| 178.2483]| [-38.8508| 178.1182]| [-38.7949| 178.1858]]]
ArielNorth,Ariel-North,6.74,3,Crustal,,,,,[[[-38.4235| 178.5092]| [-38.4778| 178.4433]| [-38.3923| 178.2549]| [-38.3381| 178.3208]]| [[-38.4785| 178.4426]| [-38.5444| 178.3932]| [-38.4589| 178.2046]| [-38.3931| 178.2541]]| [[-38.5453| 178.3929]| [-38.5894| 178.388]| [-38.5039| 178.1992]| [-38.4598| 178.2042]]]
Ashley,Ashley,7.01,1.01,Crustal,,,,,[[[-43.2663| 172.5159]| [-43.2497| 172.3004]| [-43.0694| 172.211]| [-43.0862| 172.4258]]| [[-43.2499| 172.2993]| [-43.2994| 172.167]| [-43.1192| 172.0774]| [-43.0697| 172.2093]]| [[-43.2997| 172.1659]| [-43.3162| 172.0504]| [-43.136| 171.9607]| [-43.1196| 172.0759]]]
Astrolabe01,Astrolabe (Segment 1),6.63,2.43,Volcanic,,,,,[[[-37.3114| 176.5539]| [-37.1439| 176.6734]| [-37.1996| 176.796]| [-37.3673| 176.6767]]]
